id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm
724338243663061878,1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /Wifi,201677068,Curry,Sathon,13.710604321725077,100.52021297354128,Entire home/apt,1244,1,4,2022-12-12,2.07,228,4
733268789522765009,"Loft Family Room, Sleeps 4",482765032,Thunyaporn,Vadhana,13.742711718650291,100.56234143372956,Private room,1457,1,2,2022-11-08,0.88,2,2
724347122971833993,1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /Wifi,314945555,Nana,Sathon,13.710729399140956,100.52021297354128,Entire home/apt,1144,1,3,2022-12-25,1.61,49,3
733278769058616266,Smack in the middle of the city,482765032,Thunyaporn,Vadhana,13.742722140344188,100.56231461163942,Shared room,500,1,1,2022-12-09,1.0,2,1
724373156544281883,"2br in Sathorn's Bohemian Area, Breakfast Included",26620868,Gilles,Sathon,13.72216,100.53919,Entire home/apt,4624,2,1,2022-11-18,0.73,34,1
724465553861950582,Nice 1 bedroom condo Centrally located.,480379507,Yanisa,Bang Sue,13.846454428580245,100.54170303046703,Entire home/apt,475,7,1,2022-11-20,0.77,1,1
733331562783837765,*Newly decorated* Minimalist style condominium.,22200127,Chanya,Vadhana,13.7287426,100.5919806,Private room,1800,7,2,2022-12-17,1.03,1,2
733520517776908012,Bambino House Cafe No3,126414281,Wipa,Bangkok Noi,13.74515,100.46874,Private room,519,2,2,2022-11-22,0.8,3,2
733680303686470544,Relexed 2-Bedroom Ensuite with 24hr Pool&Gym,8613539,June & Pop,Wang Thong Lang,13.790445235304263,100.59501059353352,Private room,914,4,3,2022-12-09,1.38,10,3
733799645495052263,Beatiful condo in Bangkok,482847652,Pantheera,Bangkok Yai,13.73257,100.46633,Entire home/apt,1200,1,1,2022-11-28,1.0,1,1
733849075672166547,Luxurious Loft & Facilities,9867720,Leeloo,Khlong Toei,13.72954,100.57055,Entire home/apt,5108,5,1,2022-11-27,0.94,8,1
733949237251262741,Central Old Town Cottage/No.4 The Develop,16552933,Central Old Town Cottage,Phra Nakhon,13.7557929,100.4986667,Private room,4485,1,1,2022-11-05,0.56,6,1
728598923674059525,Brand new Townhouse in Huai Khwang W/ 4 king Beds,481865680,Chaiwat,Huai Khwang,13.7787487,100.5824801,Entire home/apt,5200,1,9,2022-12-20,4.82,1,9
728741646918472189,"Lux Studio in High-Rise BKK, Gym&Spa w/Breakfast",26620868,Gilles,Vadhana,13.72419,100.58688,Entire home/apt,1190,2,1,2022-10-24,0.45,34,1
728920477911354951,7min airport/free pick up & drop off/close 2 malls,35068115,Shirley,Lat Krabang,13.72044380459621,100.73362612257657,Entire home/apt,1090,1,16,2022-12-20,5.85,2,16
728935284058755192,曼谷湄南河畔半岛酒店旁豪华公寓套房烟花最佳打卡地,149112551,Hong,Khlong San,13.72114,100.50953,Entire home/apt,1814,28,1,2022-12-01,1.0,8,1
729183877884730770,Deluxe Great Location Walk10mins to khaosan Road,465472724,Pornanong,Phra Nakhon,13.76191,100.50143,Private room,1029,1,6,2022-12-25,2.2,9,6
729211587643636769,Khaosan DD Superior Bangkok,31015834,Natha,Phra Nakhon,13.75804,100.49624,Private room,1104,1,8,2022-12-27,3.48,18,8
729222786126269864,Luxury condo in Bangkok - Phra khanong River view,373243295,Promphasson,Vadhana,13.71441,100.60568,Private room,1800,7,1,2022-12-01,1.0,1,1
729290337273289029,A8/2BR/BTS surasak/曼谷市中心/2房2室2卫/免费泳池+gym,235135484,Shin,Sathon,13.7087,100.51981,Entire home/apt,2000,1,7,2022-12-07,2.53,21,7
729361706449701482,曼谷市中心一卧室单间/酒店式公寓/泳池健身房/轻轨800米,139189243,Hana,Sathon,13.71215,100.52184,Private room,1029,1,10,2022-12-24,4.41,29,10
729364919131924336,The only resort in Bangkok.,482011973,Thaveechai,Bang Sue,13.82427,100.51808,Private room,1000,1,1,2022-12-21,1.0,1,1
724477672884522870,"Stylish room, 300m BTS Thonglor, Sukhumvit",122363222,Chonny,Khlong Toei,13.72197,100.57771,Entire home/apt,1704,2,9,2022-12-14,3.07,19,9
724491972681660067,Cozy 1 BR/3 min walk to BTS Thonglor,152018136,Tony,Khlong Toei,13.72251884352209,100.57695870674588,Entire home/apt,1594,2,6,2022-12-16,2.65,12,6
724524588076423133,Sky Retreat with Sunset River View in Thonglor!,47601115,Walker,Khlong Toei,13.715897,100.5748618,Private room,1300,1,5,2022-12-03,2.11,2,5
729497516438921248,Luxury Condo 1 bed Roof Top Pool 2 Min To MRT,77645593,Mintny,Chatu Chak,13.80717,100.57114,Entire home/apt,1455,1,11,2022-12-11,4.46,2,11
729620963383470904,Amazing 2bdroom sky pool asoke rama9 joddfairs,473454250,Morri,Huai Khwang,13.75584,100.56746,Entire home/apt,4893,35,1,2022-12-12,1.0,9,1
729621122214763566,Vintage-modern cozy 3 bedroom in Ekamai12-Thonglor,47112197,Fame,Vadhana,13.730991450349531,100.58892249209596,Entire home/apt,4810,1,12,2022-12-12,4.29,1,12
729626149936269321,"Embassies Area, close to BTS, breakfast included",26620868,Gilles,Khlong Toei,13.73673,100.55583,Entire home/apt,1190,2,1,2022-11-14,0.67,34,1
729919189669201903,Minimal Studio APRT near Ram ARL,37451680,Benjamas,Suanluang,13.74224,100.60227,Entire home/apt,1000,2,2,2022-12-12,2.0,1,2
730097619785741109,Amazing 1 bedroom 2 mins walk BTS On Nut,70213615,Wen Pei,Phra Khanong,13.704,100.6042,Entire home/apt,1229,5,8,2022-12-25,2.86,1,8
733960271401460593,"""Lucky Home""1BR_1min to Sukhumvit BTS On-Nut",195325142,Chuanpis,Phra Khanong,13.704285601576832,100.6018790602684,Entire home/apt,1453,3,3,2022-12-18,1.23,1,3
724541823132297375,Deluxe1 Great Location Walk10mins to khaosan Road,465472724,Pornanong,Phra Nakhon,13.762254049507696,100.5019211769104,Private room,1007,1,5,2022-12-18,1.88,9,5
